student_id,gender,age,attendance,study_hours,assignment_score,internal_marks,previous_marks,backlogs,extracurricular
CUR0001,Male,20,55,0.7,37,49,34,2,Yes
CUR0002,Female,20,53,1.8,46,45,40,2,No
CUR0003,Male,21,86,6.3,96,90,80,0,No
CUR0004,Female,21,89,5.2,83,73,79,0,No
CUR0005,Female,20,50,0.9,39,41,45,3,Yes
CUR0006,Female,20,72,3.6,60,74,61,2,Yes
CUR0007,Female,22,84,5.2,88,88,70,1,No
CUR0008,Female,22,50,2.5,49,44,58,3,Yes
CUR0009,Female,20,54,2.5,53,53,58,2,Yes
CUR0010,Female,20,85,6.7,99,94,95,0,No
CUR0011,Female,20,62,4.9,61,74,75,2,No
CUR0012,Male,20,84,5.7,86,90,75,0,No
CUR0013,Female,17,78,3.6,63,64,60,0,Yes
CUR0014,Female,20,65,2.4,56,60,62,0,No
CUR0015,Female,19,77,3.8,56,55,67,0,No
CUR0016,Female,19,33,1.7,30,47,47,3,Yes
CUR0017,Male,17,47,0.9,49,45,38,2,No
CUR0018,Female,22,89,5.6,70,71,65,0,Yes
CUR0019,Female,19,62,1.2,59,51,60,1,Yes
CUR0020,Male,21,93,7.3,91,99,97,0,No
CUR0021,Male,22,50,2.3,56,55,45,2,Yes
CUR0022,Female,18,88,4.7,73,71,72,1,No
CUR0023,Female,23,49,1.9,42,45,38,4,No
CUR0024,Female,21,65,2.9,56,67,54,0,Yes
CUR0025,Male,21,43,1.8,34,40,43,3,Yes
CUR0026,Female,20,95,5.7,94,99,80,0,No
CUR0027,Male,17,77,2.9,65,66,69,0,No
CUR0028,Male,17,82,4.6,85,72,69,1,No
CUR0029,Female,18,76,4.0,77,82,69,0,Yes
CUR0030,Female,22,89,5.0,83,78,82,0,No
CUR0031,Female,18,77,3.0,60,73,71,1,Yes
CUR0032,Male,17,63,3.2,71,65,65,1,Yes
CUR0033,Female,20,61,3.6,75,56,61,1,Yes
CUR0034,Female,23,68,3.4,66,75,56,1,Yes
CUR0035,Female,22,53,1.6,39,33,44,2,No
CUR0036,Female,21,44,0.8,39,49,36,2,No
CUR0037,Male,18,30,0.8,33,46,36,5,Yes
CUR0038,Male,19,49,2.0,43,31,46,5,Yes
CUR0039,Male,19,90,5.1,76,70,74,1,Yes
CUR0040,Female,23,78,4.9,79,83,75,0,No
CUR0041,Female,19,31,0.7,48,33,41,5,No
CUR0042,Male,19,65,1.2,55,54,52,1,No
CUR0043,Female,19,81,5.6,74,88,84,1,No
CUR0044,Male,21,61,3.8,73,73,75,0,Yes
CUR0045,Male,22,47,1.0,37,48,30,3,No
CUR0046,Female,21,98,7.0,94,94,85,0,No
CUR0047,Female,23,53,1.2,41,44,35,4,No
CUR0048,Female,22,34,1.9,33,48,31,3,Yes
CUR0049,Male,22,44,1.6,49,50,32,3,No
CUR0050,Male,23,44,1.8,44,30,40,4,No
CUR0051,Male,22,66,3.3,60,71,62,2,Yes
CUR0052,Male,21,75,4.4,86,80,89,1,Yes
CUR0053,Female,20,52,1.6,50,58,40,1,Yes
CUR0054,Female,17,31,1.1,34,47,43,5,Yes
CUR0055,Male,22,76,3.6,55,69,73,0,No
CUR0056,Male,23,50,2.5,43,43,58,1,Yes
