student_id,gender,age,attendance,study_hours,assignment_score,internal_marks,previous_marks,backlogs,extracurricular,final_result
HIS0001,Female,17,85,7.2,92,92,84,0,Yes,Excellent
HIS0002,Female,23,87,5.7,85,91,100,0,Yes,Excellent
HIS0003,Male,20,90,7.1,95,93,84,0,No,Excellent
HIS0004,Female,23,96,7.5,93,86,94,0,No,Excellent
HIS0005,Male,20,41,1.4,32,31,37,4,Yes,At Risk
HIS0006,Female,22,74,3.9,66,60,61,1,Yes,Good
HIS0007,Male,22,90,6.6,92,90,94,0,No,Excellent
HIS0008,Female,18,61,2.7,56,65,62,1,Yes,Average
HIS0009,Female,22,62,2.8,60,54,44,2,Yes,Poor
HIS0010,Male,23,43,1.8,42,41,37,3,No,At Risk
HIS0011,Female,21,89,6.9,98,87,92,0,No,Excellent
HIS0012,Female,17,88,7.0,93,95,83,0,No,Excellent
HIS0013,Female,23,76,4.3,71,58,70,1,Yes,Average
HIS0014,Male,18,75,5.2,85,70,68,1,No,Good
HIS0015,Female,21,32,0.6,45,32,47,3,Yes,At Risk
HIS0016,Female,20,83,5.1,89,83,71,0,No,Excellent
HIS0017,Male,17,44,0.7,37,32,40,2,Yes,At Risk
HIS0018,Female,18,86,5.7,86,95,82,0,No,Excellent
HIS0019,Male,17,34,1.6,48,48,45,3,No,At Risk
HIS0020,Female,23,98,6.1,98,99,81,0,Yes,Excellent
HIS0021,Male,23,92,5.6,99,89,93,0,No,Excellent
HIS0022,Male,20,99,7.4,88,86,100,0,Yes,Excellent
HIS0023,Female,23,65,1.4,52,41,45,2,Yes,At Risk
HIS0024,Male,21,59,1.8,57,55,44,1,No,Poor
HIS0025,Male,23,31,1.6,31,31,48,5,Yes,At Risk
HIS0026,Male,20,77,5.2,77,82,68,0,Yes,Excellent
HIS0027,Male,22,48,1.3,38,36,40,3,No,At Risk
HIS0028,Male,21,74,2.9,57,55,64,2,Yes,Poor
HIS0029,Female,21,64,4.8,57,62,61,1,Yes,Average
HIS0030,Male,22,30,1.5,47,39,33,3,No,At Risk
HIS0031,Female,19,34,0.9,49,36,40,3,No,At Risk
HIS0032,Female,18,87,6.9,93,86,80,0,Yes,Excellent
HIS0033,Male,20,63,2.1,43,42,44,3,Yes,At Risk
HIS0034,Female,21,76,4.6,71,81,71,0,Yes,Good
HIS0035,Male,19,82,5.7,75,83,65,0,No,Excellent
HIS0036,Female,23,78,4.8,71,85,72,0,No,Excellent
HIS0037,Female,22,82,4.0,76,82,75,1,Yes,Good
HIS0038,Female,17,42,1.5,47,40,30,2,No,At Risk
HIS0039,Male,19,98,6.0,95,98,99,0,No,Excellent
HIS0040,Female,22,98,5.0,91,96,93,0,No,Excellent
HIS0041,Female,22,94,6.5,98,95,92,0,Yes,Excellent
HIS0042,Male,20,55,2.2,49,52,57,1,No,Poor
HIS0043,Male,19,49,1.5,44,44,44,3,No,At Risk
HIS0044,Male,17,51,1.4,40,32,37,4,Yes,At Risk
HIS0045,Female,18,92,8.0,87,99,93,0,No,Excellent
HIS0046,Male,23,75,5.8,73,83,72,0,No,Good
HIS0047,Female,20,99,5.4,99,95,94,0,No,Excellent
HIS0048,Female,17,67,4.5,63,71,65,2,Yes,Average
HIS0049,Female,22,67,2.8,65,72,52,0,Yes,Average
HIS0050,Male,23,81,4.1,83,80,82,1,No,Good
HIS0051,Female,19,62,2.8,58,40,58,2,No,Poor
HIS0052,Female,20,63,2.1,57,59,47,2,Yes,Poor
HIS0053,Male,17,97,6.0,97,90,94,0,Yes,Excellent
HIS0054,Female,19,54,2.7,45,41,48,2,No,At Risk
HIS0055,Male,19,72,2.8,68,63,52,1,Yes,Average
HIS0056,Male,21,77,5.6,90,71,89,0,Yes,Excellent
HIS0057,Male,21,82,4.3,73,88,71,1,No,Good
HIS0058,Female,20,53,1.6,35,39,33,2,No,At Risk
HIS0059,Male,19,77,5.2,90,77,68,1,Yes,Excellent
HIS0060,Female,17,43,1.5,32,46,50,4,Yes,At Risk
HIS0061,Female,20,61,2.3,54,44,53,1,No,Poor
HIS0062,Female,19,58,1.6,47,42,48,2,Yes,At Risk
HIS0063,Female,21,100,7.6,90,100,86,0,No,Excellent
HIS0064,Male,22,77,2.0,61,57,57,2,No,Poor
HIS0065,Female,22,65,1.9,40,42,49,1,No,Poor
HIS0066,Female,19,41,1.2,46,41,43,4,No,At Risk
HIS0067,Male,22,67,2.4,61,65,53,2,Yes,Poor
HIS0068,Male,19,58,2.4,56,59,49,1,Yes,Poor
HIS0069,Female,22,84,4.0,87,74,73,0,Yes,Excellent
HIS0070,Female,18,90,4.2,70,88,74,1,No,Good
HIS0071,Male,18,93,7.8,100,88,82,0,No,Excellent
HIS0072,Female,20,84,4.2,77,73,82,1,Yes,Good
HIS0073,Male,23,59,2.7,53,49,58,3,Yes,Poor
HIS0074,Male,20,81,4.5,72,75,72,0,Yes,Good
HIS0075,Male,19,65,1.6,47,49,49,3,No,At Risk
HIS0076,Male,17,51,1.7,36,43,33,3,Yes,At Risk
HIS0077,Female,21,90,7.4,94,99,83,0,No,Excellent
HIS0078,Male,18,45,1.2,49,31,43,4,No,At Risk
HIS0079,Female,19,48,1.9,38,48,31,3,No,At Risk
HIS0080,Female,22,88,5.3,85,72,80,1,No,Excellent
HIS0081,Female,19,90,6.0,100,94,92,0,No,Excellent
HIS0082,Male,18,63,4.9,67,71,50,2,No,Average
HIS0083,Male,19,41,1.4,45,50,44,2,Yes,At Risk
HIS0084,Male,21,65,1.2,60,59,47,3,Yes,At Risk
HIS0085,Female,21,52,1.4,43,54,43,3,Yes,At Risk
HIS0086,Male,21,73,4.5,70,62,64,2,Yes,Average
HIS0087,Female,22,53,1.8,32,38,43,4,No,At Risk
HIS0088,Female,21,78,3.7,70,59,64,2,No,Average
HIS0089,Male,19,42,1.2,40,36,37,5,Yes,At Risk
HIS0090,Female,23,62,1.8,60,44,55,1,Yes,Poor
HIS0091,Female,23,99,5.3,99,85,84,0,Yes,Excellent
HIS0092,Female,23,70,3.9,67,75,52,1,No,Average
HIS0093,Male,23,31,1.4,37,50,39,3,Yes,At Risk
HIS0094,Female,19,99,5.5,94,85,81,0,Yes,Excellent
HIS0095,Female,21,54,1.5,53,58,45,1,Yes,Poor
HIS0096,Male,23,90,5.8,74,77,79,1,No,Excellent
HIS0097,Female,22,59,2.4,45,42,54,2,No,Poor
HIS0098,Female,21,74,4.5,61,67,65,0,Yes,Good
HIS0099,Female,23,69,2.1,67,63,50,2,Yes,Average
HIS0100,Male,22,67,3.8,66,62,70,0,No,Good
HIS0101,Female,19,86,5.9,99,86,98,0,Yes,Excellent
HIS0102,Female,23,55,1.4,57,51,56,3,No,At Risk
